user_name,comment
mochaldipermana,"kawal sampe dpt, jgn nunggu viral dulu bu!"
rezkyfajarsumirat,udh tau blm ttg ini?
risyaanafisa,ngwri
brlianakrn_,ini loh
saifuladnan12,colek bang hotman..???????? minta tolong ke bu   juga..
msaefull__anwar,Ade²an  Lo gini amat Cok gedenya
jilanrochland11,awas tah
diyani_aldian12,temen u jaksanya bkn na
isssss__0,Innalilahi
akunnabila_,sama ga yaaa kasusnya???
delliaanandaa,"Da nu hade maneh, ngereri jaman kuari aredan meren nyaa??"
aniesfuad25,nitip beli gorengan... ada tontonan baru nih pejabat pdglng
faridhumaedi_,maneh nya mal
r.ziarraa_8,a udah viral ni??
mhmdadoo,Parah bet parah
naisshayatii_,"Capek deh ,pada kenapaa si orang orang"
